id,doi,arxiv_id,title,year,journal,url,reason,attempts
P02_1240,,,Proceedings of the IEEE/ACM 48th International Conference on Software Engineering: Software Engineering in Practice,2026,,,no-identifier,
P02_1241,,,Proceedings of the ACM Asia Conference on Computer and Communications Security,2026,,,no-identifier,
P02_1242,,,The World Wide Web Conference,2019,,,no-identifier,
P02_1243,,,Proceedings of the Genetic and Evolutionary Computation Conference,2024,,,no-identifier,
P02_1244,,,"Proceedings of the 2026 ACM Conference on Fairness, Accountability, and Transparency",2026,,,no-identifier,
P02_1245,,,Proceedings of the 19th ACM Asia Conference on Computer and Communications Security,2024,,,no-identifier,
P02_1246,,,Optimal locally private nonparametric classification with public data,2024,,,no-identifier,
P02_1247,,,"Proceedings of the 2024 ACM Conference on Fairness, Accountability, and Transparency",2024,,,no-identifier,
P02_1248,,,"Proceedings of the 2023 ACM Conference on Fairness, Accountability, and Transparency",2023,,,no-identifier,
P02_1249,,,Proceedings of the 19th International Conference on the Foundations of Digital Games,2024,,,no-identifier,
P02_1250,,,Proceedings of the 2026 Designing Interactive Systems Conference,2026,,,no-identifier,
P02_1329,,,"4th Conference on Lifelong Learning Agents, CoLLAs 2025",2025,Proceedings of Machine Learning Research,https://www.scopus.com/pages/publications/105039413569?origin=resultslist,no-identifier,
P02_1339,,,TOWARDS ROBUST OUT-OF-DISTRIBUTION GENERALIZATION BOUNDS VIA SHARPNESS,2024,"12th International Conference on Learning Representations, ICLR 2024",https://www.scopus.com/pages/publications/85200608839?origin=resultslist,no-identifier,
P02_1388,,,"14th National CCF Conference on Natural Language Processing and Chinese Computing, NLPCC 2025",2026,Lecture Notes in Computer Science,https://www.scopus.com/pages/publications/105025895730?origin=resultslist,no-identifier,
P02_1389,,,Weight Space Correlation Analysis: Quantifying Feature Utilization in Deep Learning Models,2026,Proceedings of Machine Learning Research,https://www.scopus.com/pages/publications/105040248049?origin=resultslist,no-identifier,
P02_1407,,,"*SEM 2022 - 11th Joint Conference on Lexical and Computational Semantics, Proceedings of the Conference",2022,"*SEM 2022 - 11th Joint Conference on Lexical and Computational Semantics, Proceedings of the Conference",https://www.scopus.com/pages/publications/85139127779?origin=resultslist,no-identifier,
